time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-05T18:37:33.070Z,17.968,-66.953,10,3.07,md,22,182,0.0912,0.09,pr,pr2021309010,2021-11-05T19:08:17.450Z,"4 km WSW of Fuig, Puerto Rico",earthquake,0.27,0.3,0.32,13,reviewed,pr,pr
2021-11-05T17:55:53.480Z,19.1833324432373,-155.468826293945,37.1500015258789,2.51999998,md,49,95,,0.119999997,hv,hv72783767,2021-11-05T18:01:23.970Z,"2 km SSE of P?hala, Hawaii",earthquake,0.52,0.779999971,1.48000002,34,automatic,hv,hv
2021-11-05T15:27:13.978Z,50.0483,156.8582,77.92,4.8,mb,,109,3.109,1.07,us,us7000frrf,2021-11-05T16:09:33.040Z,"87 km SE of Severo-Kuril’sk, Russia",earthquake,11,7.4,0.06,86,reviewed,us,us
2021-11-05T14:11:28.306Z,-28.6496,-71.4519,33.95,4.9,mb,,94,0.554,1.08,us,us7000frq2,2021-11-05T15:56:41.951Z,"Near the coast of Atacama, Chile",earthquake,5.1,3.2,0.052,119,reviewed,us,us
2021-11-05T13:19:26.650Z,18.0188,-68.326,102,3.5,md,16,198,0.4982,0.54,pr,pr2021309009,2021-11-05T13:59:47.170Z,"49 km SE of Boca de Yuma, Dominican Republic",earthquake,4.01,2.19,0.1,8,reviewed,pr,pr
2021-11-05T12:44:38.463Z,52.7897,161.0616,34.87,4.5,mb,,148,1.479,0.61,us,us7000frpp,2021-11-05T13:04:04.040Z,"166 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,10.9,7.2,0.108,25,reviewed,us,us
2021-11-05T12:12:14.634Z,52.781,160.6698,41.58,4.6,mb,,87,1.247,0.6,us,us7000frpi,2021-11-05T12:47:46.040Z,"140 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,8.9,7.2,0.069,63,reviewed,us,us
2021-11-05T12:03:13.550Z,35.6648333,-117.4856667,10.73,3.36,ml,66,38,0.08047,0.17,ci,ci39849663,2021-11-05T19:01:29.892Z,"14km SSW of Searles Valley, CA",earthquake,0.12,0.24,0.162,19,reviewed,ci,ci
2021-11-05T11:18:40.797Z,29.7102,-113.825,10,4.3,mb,,168,1.592,0.7,us,us7000frp3,2021-11-05T11:54:47.040Z,"111 km WSW of La Libertad, Mexico",earthquake,5.4,2,0.142,14,reviewed,us,us
2021-11-05T10:45:01.284Z,31.66197372,-104.5481939,7.596923828000001,2.5,ml,17,79,0.04097330803,0.3,tx,tx2021vrof,2021-11-05T17:23:59.825Z,"59 km SSW of Whites City, New Mexico",earthquake,1.691495104,1.108178957,0.1,7,reviewed,tx,tx
2021-11-05T10:05:51.571Z,-23.6225,-179.9673,553.35,4.3,mb,,104,5.908,0.48,us,us7000frnq,2021-11-05T10:46:52.040Z,"south of the Fiji Islands",earthquake,13.2,7.1,0.052,105,reviewed,us,us
2021-11-05T09:26:59.570Z,19.2259998321533,-155.413162231445,32.9799995422363,2.51,ml,45,137,,0.119999997,hv,hv72783452,2021-11-05T13:46:49.040Z,"7 km ENE of P?hala, Hawaii",earthquake,0.54,0.610000014,2.75,11,automatic,hv,hv
2021-11-05T09:26:07.670Z,18.189,-67.667,4,3.3,md,20,161,0.2711,0.46,pr,pr2021309007,2021-11-05T10:50:10.459Z,"46 km WSW of Stella, Puerto Rico",earthquake,1.28,1.21,0.09,7,reviewed,pr,pr
2021-11-05T09:12:19.290Z,17.953,-66.9483,8,3.19,md,25,182,0.0973,0.12,pr,pr2021309006,2021-11-05T09:49:18.199Z,"4 km WSW of Guánica, Puerto Rico",earthquake,0.39,0.9,0.16,19,reviewed,pr,pr
2021-11-05T08:29:54.080Z,60.1009,-152.931,118.5,2.8,ml,,,,0.6,ak,ak021e7601cg,2021-11-05T09:54:12.884Z,"69 km WNW of Happy Valley, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-05T08:04:58.997Z,-38.388,144.9471,10,2.9,ml,,121,0.921,0.48,us,us7000frne,2021-11-05T13:36:02.656Z,"4 km SSE of McCrae, Australia",earthquake,6.3,2,0.148,6,reviewed,us,us
2021-11-05T06:59:07.830Z,38.833168,-122.8101654,1.71,2.75,md,57,38,0.009759,0.06,nc,nc73648890,2021-11-05T16:49:27.096Z,"8km W of Cobb, CA",earthquake,0.13,0.2,0.16,46,automatic,nc,nc
2021-11-05T06:59:01.330Z,38.8333321,-122.8121643,1.84,2.96,md,25,51,0.01006,0.02,nc,nc73648905,2021-11-05T17:01:46.382Z,"8km W of Cobb, CA",earthquake,0.19,0.31,0.05,6,automatic,nc,nc
2021-11-05T05:05:17.593Z,9.0592,126.5795,9.77,4.7,mb,,108,2.211,0.63,us,us7000frlz,2021-11-05T05:59:55.381Z,"34 km ENE of Bacolod, Philippines",earthquake,9.3,4.8,0.085,42,reviewed,us,us
2021-11-05T04:55:56.513Z,33.7615,137.4822,343.83,4.9,mb,,42,1.082,0.81,us,us7000frlu,2021-11-05T06:32:20.417Z,"99 km SE of Toba, Japan",earthquake,8.3,6.5,0.026,476,reviewed,us,us
2021-11-05T04:46:44.420Z,37.9091667,-122.2916667,5.01,2.65,md,123,24,0.01358,0.1,nc,nc73648830,2021-11-05T19:22:44.800Z,"1km W of Kensington, CA",earthquake,0.09,0.12,0.162,92,reviewed,nc,nc
2021-11-05T04:43:49.300Z,17.8773,-66.9423,12,3.18,md,24,221,0.1374,0.14,pr,pr2021309004,2021-11-05T05:19:02.040Z,"11 km SSW of Guánica, Puerto Rico",earthquake,0.6,0.42,0.34,17,reviewed,pr,pr
2021-11-05T04:27:50.000Z,17.8581,-66.9551,13,2.97,md,25,231,0.1426,0.15,pr,pr2021309003,2021-11-05T04:53:45.637Z,"13 km SSW of Guánica, Puerto Rico",earthquake,0.55,0.35,0.27,11,reviewed,pr,pr
2021-11-05T04:13:52.135Z,2.1111,-78.963,49.02,4.5,mb,,151,1.93,0.99,us,us7000frle,2021-11-05T06:28:59.683Z,"34 km WNW of Salahonda, Colombia",earthquake,8.2,10.2,0.074,57,reviewed,us,us
2021-11-05T03:02:45.560Z,17.9681,-66.8475,17,3,md,20,167,0.1967,0.08,pr,pr2021309001,2021-11-05T03:28:44.943Z,"4 km SW of Indios, Puerto Rico",earthquake,0.3,0.24,0.07,7,reviewed,pr,pr
2021-11-05T02:30:49.967Z,-23.8947,-66.9052,232.8,4.2,mb,,118,1.499,0.37,us,us7000frku,2021-11-05T03:05:13.040Z,"69 km WNW of San Antonio de los Cobres, Argentina",earthquake,12,13.6,0.235,6,reviewed,us,us
2021-11-05T02:19:27.830Z,19.2151666666667,-155.409166666667,32.7,2.8,ml,50,146,,0.12,hv,hv72783152,2021-11-05T03:06:31.610Z,"7 km E of P?hala, Hawaii",earthquake,0.41,0.51,0.267298371758833,34,reviewed,hv,hv
2021-11-05T01:48:31.990Z,28.8149,87.4331,10,5,mb,,133,5.097,1.04,us,us7000frkq,2021-11-05T06:35:09.861Z,"113 km NNE of Lobujya, Nepal",earthquake,10,1.8,0.055,108,reviewed,us,us
2021-11-05T01:42:18.610Z,17.9519,-66.9656,14,3.34,md,26,186,0.0806,0.15,pr,pr2021309000,2021-11-05T02:56:06.152Z,"6 km WSW of Guánica, Puerto Rico",earthquake,0.39,0.58,0.37,14,reviewed,pr,pr
2021-11-05T01:15:50.435Z,-23.1523,-178.8539,438.77,4.5,mb,,129,6.111,0.84,us,us7000frkj,2021-11-05T01:33:45.040Z,"south of the Fiji Islands",earthquake,12.4,9.6,0.15,15,reviewed,us,us
2021-11-05T00:55:25.199Z,36.36583333,-97.345,5.81,2.79,ml,92,36,0,0.25,ok,ok2021vquu,2021-11-05T13:01:54.653Z,"9 km NNW of Perry, Oklahoma",earthquake,,0.4,0.26,35,reviewed,ok,ok
2021-11-05T00:19:07.310Z,18.8563333333333,-155.506166666667,34.86,2.8,ml,50,267,,0.12,hv,hv72783102,2021-11-05T03:27:24.430Z,"24 km SSE of Naalehu, Hawaii",earthquake,0.47,0.83,0.16173184097016,17,reviewed,hv,hv
2021-11-04T23:39:17.970Z,54.5658,-156.7723,37.2,3.3,ml,,,,0.77,ak,ak021e5rg938,2021-11-05T06:04:17.041Z,"212 km SE of Perryville, Alaska",earthquake,,2.7,,,reviewed,ak,ak
2021-11-04T20:31:14.880Z,17.95,-66.9531,9,2.67,md,16,209,0.0932,0.1,pr,pr2021308004,2021-11-04T20:56:41.752Z,"5 km WSW of Guánica, Puerto Rico",earthquake,0.48,0.71,0.17,8,reviewed,pr,pr
2021-11-04T19:26:08.980Z,34.658,-94.3715,16.66,2.7,md,16,84,0.6653,0.3,nm,nm60137743,2021-11-05T15:19:49.414Z,"14 km WNW of Mena, Arkansas",earthquake,0.9,1.16,0.157,11,reviewed,nm,nm
2021-11-04T19:17:15.340Z,54.7128,-156.8912,0,3.9,ml,,,,0.86,ak,ak021e5oxsoi,2021-11-04T21:01:57.040Z,"195 km SE of Perryville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-11-04T17:51:56.158Z,44.4865,-115.2189,10,2.6,ml,,43,0.819,0.45,us,us7000frgb,2021-11-04T20:07:03.430Z,"37 km NW of Stanley, Idaho",earthquake,3.2,2,0.047,60,reviewed,us,us
2021-11-04T16:36:53.368Z,-48.2606,165.2157,10,5.5,mww,,84,2.321,0.76,us,us7000frfx,2021-11-05T18:17:48.040Z,"298 km SW of Bluff, New Zealand",earthquake,5.3,1.7,0.093,11,reviewed,us,us
